id,question,correct_answer,test_id
1,What is the capital of Australia?,2,1
2,Which of the following words is a synonym for happy?,2,1
3,Who wrote the famous play Romeo and Juliet?,1,1
4,What is the largest ocean on Earth?,3,1
5,How many continents are there in the world?,3,1
6,What is the official language of Brazil?,1,1
7,Who painted the famous artwork Mona Lisa?,2,1
8,Which planet is known as the Red Planet?,2,1
9,What is the currency of Japan?,1,1
10,In which year did the Titanic sink?,2,1
11,В компании (на вечеринке) Вы,1,2
12,Вы человек скорее,1,2
13,По-Вашему, что хуже:,1,2
14,Вы более подвержены влиянию,1,2
15,Вы более склонны,1,2
16,Вы предпочитаете работать,1,2
17,Вы склонны делать выбор,1,2
18,В компании (на вечеринке) Вы,1,2
19,Вас более привлекают,1,2
20,Вам интересно,1,2
21,Оценивая поступки людей, Вы больше учитываете,1,2
22,Обращаясь к другим, Вы скпонны,1,2
23,Вы человек скорее,1,2
24,Вас больше беспокоит необходимость,1,2
25,В кругу знакомых Вы, как правило,1,2
26,Повседневные дела Вам нравится делать,1,2
27,Предпочитаю таких писателей, которые,1,2
28,Что Вас больше привлекает,1,2
29,В чувствуете себя увереннее,1,2
30,Вы предпочитаете, когда дела,1,2
31,Как по-Вашему, Вы человек, скорее,1,2
32,При телефонных разговорах Вы,1,2
33,Как Вы считаете, факты,1,2
34,Фантазеры, мечтатели обычно ,1,2
35,Вы чаще действуете как человек,1,2
36,Как по-Вашему, хуже быть,1,2
37,Обычно Вы предпочитаете действовать,1,2
38,Вам приятнее,1,2
39,В компании Вы, как правило,1,2
40,Здравый смысл,1,2
41,Детям часто не хватает,1,2
42,В принятии решений Вы руководствуетесь скорее,1,2
43,Вы человек скорее,1,2
44,Что, по-Вашему, больше впечатляет,1,2
45,Вы больше цените,1,2
46,Новые и нестандартные отношения с людьми,1,2
47,Вы чаще действуете как,1,2
48,Вы более склонны,1,2
49,Что приносит Вам больше удовлетворения,1,2
50,Вы руководствуетесь более,1,2
51,Вам удобнее выполнять работу,1,2
52,Вы обычно полагаетесь,1,2
53,Вы предпочитаете иметь,1,2
54,Вы руководствуетесь в большей степени,1,2
55,Вас больше интересуют,1,2
56,Что Вы считаете за комплимент,1,2
57,Вы более цените в себе,1,2
58,Вы предпочитаете высказывать,1,2
59,Вы лучше чувствуете себя,1,2
60,Общаясь с незнакомыми, Вы,1,2
61,Вы больше доверяете,1,2
62,Вы чувствуете себя человеком,1,2
63,Кто заслуживает большего одобрения -,1,2
64,Вы более склонны,1,2
65,Что, по-Вашему, предпочтительней,1,2
66,Отношения между людьми должны строиться,1,2
67,Когда звонит телефон, Вы,1,2
68,Что Вы цените в себе больше,1,2
69,Вы больше придаете значение,1,2
70,Что выглядит большим заблуждением,1,2
71,Вы в основном считаете себя,1,2
72,Какие ситуации привлекают Вас больше,1,2
73,Вы человек, скорее,1,2
74,Вы чаще склонны,1,2
75,В литературных произведениях Вы предпочитаете,1,2
76,Что для Вас труднее,1,2
77,Чего бы вы себе больше пожелали,1,2
78,Что хуже,1,2
79,Вы предпочитаете,1,2
80,Вы склонны поступать скорее,1,2
81,Почему, по-Вашему, нужно хорошо учиться в школе?,0,3
82,За оставшееся время учебы в школе в первую очередь мне бы хотелось:,0,3
83,Если бы Вам пришлось работать, то что бы Вы предпочли?,0,3
84,Вам предлагают перейти в другую школу.При каких условиях Вы бы на это согласились?,0,3
85,Попробуйте оценить, что для Вас будет означать Ваш заработок, когдаВы начнете работать?,0,3
86,Если бы Вы были учителем, то что бы наиболее сильно влияло наВаше отношение к ученику?,0,3
87,Для Вас школа - это:,0,3
88,Если девятиклассник в школе проявляет активность и инициативу, то это, на Ваш взгляд, связано:,0,3
89,Какое суждение о коллективное работе Вам ближе?,0,3
90,Общественная работа в школе-это:,0,3
91,Во взрослой жизни Вы бы предпочли работу:,0,3
92,Что Вы, прежде всего, цените в людях?,0,3
93,Допустим, в организации, где работают родители, возникли проблемы.Как, по-Вашему мнению, они должны поступить?,0,3
94,Как, по-Вашему, есть ли преимущества у лидеров школы?,0,3