id,result,result_info,test_id
1,ESFP,"Ваш психологический портрет и потенциальные способности:
энергичность, неуёмная общительность, хорошие коммерческие и дипломатические способности; умение выстраивать хорошие отношения; безразличие к ответственности и организованности (пренебрежение к запланированному в угоду неожиданному); стремление к лидерству и свободе в действиях; открытость для восприятия окружающего мира, умение радоваться жизни.",2
2,ISFP,"Ваш психологический портрет и потенциальные способности:
доброта, доверчивость, альтруизм, сентиментальность, жизнелюбие, оптимизм, внимательность, заботливость, свободолюбие и непокорность; главное – острота ощущений текущей минуты, стремление жить «здесь и сейчас». Избегание сферы руководства и ответственности, стремление разделить ответственность с кем-нибудь, стремление «не выделяться» и не конкурировать, зависимость работоспособности от настроения. Нетерпимость к рутине и необходимости выполнять работу к определённому сроку.",2
3,ISTJ,"Ваш психологический портрет и потенциальные способности:
спокойствие, логичность, надёжность, замкнутость и скрытность, малоэмоциональность, обладание развитым чувством долга; независимость; способность к организаторской деятельности, любовь к стабильности, порядку, чёткости и определенности; высокая работоспособность; склонность докапываться до сути (исследовательская жилка); высокое чувство ответственности.",2
4,ISTP,"Ваш психологический портрет и потенциальные способности:
стремление к независимости, жажда действий, самолюбие, обидчивость, замкнутость, недоверчивость, импульсивность, постоянный поиск знаний, но особого типа: в виде конкретных методик, приёмов, технологий; прирожденное изобретательство; нетерпимость рутины и «бумажной канители»; реалистичный подход к делу и оценка целесообразности различных мероприятий и действий; практическая оценка любой критической ситуации и использование всех возможных ресурсов для достижения успеха; стремление глубоко разобраться в возникающих практических проблемах; постоянное стремление к неизведанному.",2
5,INTJ,"Ваш психологический портрет и потенциальные способности:
независимость, самоуверенность, целеустремленность, рассудительность, логичность, справедливость, замкнутость, молчаливость, отсутствие способности разбираться в людях; ориентированность на время и цель; готовность взять готовую идею и усовершенствовать её; главная потребность – порядок в системе; умение логически докапываться до сути явлений, четко отделять главное от второстепенного.",2
6,ENFJ,"Ваш психологический портрет и потенциальные способности:
общительность, обаяние, отзывчивость, энтузиазм, раскрепощенность, энергичность, нетерпимость к рутине и монотонной деятельности, предусмотрительность и дальновидность; склонность к приобретению и систематизации знаний; понимание окружающих; умение вдохновлять и увлекать за собой окружающих; способность служить обществу наиболее эффективным образом.",2
7,ISFJ,"Ваш психологический портрет и потенциальные способности:
целеустремленность, осторожность, сдержанность, самоуглубленность, вежливость, тактичность. Любовь к работе в малой группе или «в одиночку». В работе Вас не утомляет рутина, не раздражают детали. Вы хороший, надежный исполнитель, а не руководитель; предпочтение – четко структурированной деятельности на основе уже разработанных планов и инструкций, умение контролировать; неприятие неопределенности и непредсказуемости; главное в жизни определяется словами «надо» и «должно», даже если приходится жертвовать своими личными интересами.",2
8,ENTP,"Ваш психологический портрет и потенциальные способности:
общительность, инициатива, энтузиазм, дружелюбие; развитое познавательное мышление; генерация идей, стремление к независимости, познанию и самообразованию (стремление к самосовершенствованию и совершенствованию окружающих), обладание способностями к классификации, а также к структурированию ситуаций и явлений окружающего мира; нетерпимость к рутине и регламентам, строгим распорядкам и давлению; постоянный поиск альтернатив скучной повседневности; есть проблема в понимании людей (все люди для Вас хорошие и добрые).",2
9,ESTP,"Ваш психологический портрет и потенциальные способности:
Вы достаточно противоречивы. С одной стороны – обаяние, дружеский стиль общения, воля, решительность, настойчивость, прагматизм, отвращение к любой рутинной и монотонной работе, повторяющейся от раза к разу; высокие потенциальные организаторские и управленческие способности; умение вносить конструктивные предложения и следовать далеким от рутины курсом; логическое мышление и гибкая психика. С другой стороны – взбалмошность и непостоянство; грубость и нетерпимость, хотя при высоком интеллекте эта ситуация может сглаживаться; умение подчинять себе и манипулировать, часто жестко и авторитарно; недоверчивость к людям (проверка людей «в деле»); трудность в сдерживании эмоций в отношениях с людьми.",2
10,INFJ,"Ваш психологический портрет и потенциальные способности:
задумчивость, склонность к размышлениям, уступчивость, любезность и заботливость, преданность взятым на себя обязательствам, приверженность к порядку и аккуратности; стремление к гармонии человеческих отношений, интеллектуальная проницательность, трудолюбие, пунктуальность и дисциплинированность, стремление к знаниям и самосовершенствованию.",2
11,INTP,"Ваш психологический портрет и потенциальные способности:
интеллектуальная проницательность, хладнокровие, замкнутость, самоуглубленные размышления, независимость; любовь к систематизации, к изучению идей, как других, так и своих собственных (маленький исследователь, архитектор систем). Умение мыслить образно. Обладание математическими способностями, которые могут прекрасно развиваться под воздействием хороших педагогов. Прагматизм, способность к аналитике. Способность генерировать нестандартные идеи, но слабое чувство реальности и некоторая оторванность от практической стороны жизни; социальная инертность.",2
12,ENFP,"Ваш психологический портрет и потенциальные способности:
общительность, обаяние, отзывчивость, энтузиазм, идеализм, драматизм, раскрепощенность; врожденная склонность к улучшению общественной атмосферы, способность доставлять радость окружающим, предпочтение ответственности обязанностям (понятие долга « … ты должен» ассоциируется с насилием и вызывает протест); способность убеждать и вдохновлять, генерировать различные варианты при решении проблем; сильное чувство независимости; нежелание планировать что-то заранее.",2
13,ENTJ,"Ваш психологический портрет и потенциальные способности:
врожденная любознательность, богатое воображение, логическое мышление, высокая социальная активность, энтузиазм, способность к классификации и обобщению полученной информации; динамичность и целеустремленность, ситуационное мышление, способность к разработке стратегий и целевых программ, стремление учиться всю жизнь, стремление к руководству.",2
14,INFP,"Ваш психологический портрет и потенциальные способности:
обаяние, застенчивость, сдержанность, эмпатия, идеализм, драматизм; самокритичность и скромность; нелюбовь к строгим порядкам, бездумному подчинению регламенту и инструкциям; предпочтение обязанностей, а не ответственности; избегание изменений активности и склонность к затворнической жизни; зависимость работоспособности от настроения; развитое предчувствие; способность воспринимать идеи и информацию, любовь к экспромтам, способность к принятию объективных решений.",2
15,ESTJ,"Ваш психологический портрет и потенциальные способности:
надежность, исполнительность, желание помочь, открытость и бесхитростность, склонность планировать и действовать «без глупостей», реалистичность, интерес к новым технологическим процессам и техническим средствам; высокое чувство ответственности и умение правильно организовать процесс; мастера на все руки; прирожденные руководители; развитое чувство долга.",2
16,"1","Инструментальный тип мотивации.
Для Вас главное – получить хорошие оценки любой ценой, отсутствие стремления получить более обширные и глубокие знания, выходящие за пределы школьной программы, стремление к «зазубриванию» и простому воспроизведению изученного материала. Всё это не способствует формированию фундаментальных знаний и развитию личности. Необходимо больше интересоваться содержанием предмета и стремиться к решению трудных и нестандартных задач, развивающих интеллект и логическое мышление. Только такой подход к учебному процессу в школе и в институте в будущем может привести к более успешному освоению профессии.",3
17,"2","Творческий тип мотивации.
Для Вас главное – учебное содержание предмета и трудные нестандартные задания как возможность саморазвития и самовыражения. Это предопределяет хороший прогноз освоения содержания как школьной образовательной программы, так и образовательной программы по выбранной профессии, что предопределяет формирование требуемых компетенций специалиста и, как следствие, гарантированное трудоустройство.",3
18,"3","Социальный тип мотивации.
Для Вас главное – общественное признание, участие в успехе класса, школы, социальная активность. Главная награда для Вас – всеобщее признание, незаменимость в коллективе. Необходимо больше внимания уделять учебе и добиваться признания как лучшего ученика, лучшего студента, а в будущем – лучшего по профессии.",3
19,"4","Независимый тип мотивации.
Для Вас главное – свобода в действиях и поведении. Вас угнетают покровительство, контроль и назидание. Предпочитаете ответственность, а не обязанность. Необходимо делом убедить и родителей, и преподавателей, что Вы не нуждаетесь в опеке и контроле, что Вы - человек ответственный и понимаете главную цель – успешно освоить образовательные программы как в школе, так и в институте и стать высокопрофессиональным специалистом.",3
20,"5","Немотивированный тип.
Для Вас учеба – большая проблема: равнодушие, лень, низкая ответственность, низкий уровень развития знаний и отсутствие стремления преуспеть в этой сфере; безволие и упрямство; низкая активность и раздражение против активности других. Без изменения отношения к учебной деятельности и саморазвитию у Вас нет перспектив получить профессию и обрести жизненный успех.",3
21,"1","Сотрудничество:
Это самая оптимальная модель поведения, которая должна присутствовать в каждом коллективе. Люди, готовые к сотрудничеству, всегда ищут поддержку у оппонента и стараются узнать, в чем состоят интересы другого человека. Определить, что человек себя ведет именно так, можно при помощи методики «тест Томаса». Стратегия поведения в конфликтной ситуации «сотрудничество» характеризуется спокойным и уравновешенным тоном, а также мирным диалогом. Такая модель поведения направлена на глобальное решение возникнувшего вопроса, а не на то, чтобы просто уладить конфликт. Более того, если решить проблему именно так, больше она не будет возникать, поскольку и той, и той стороне конфликта будет одинаково хорошо.",4
22,"2","Соперничество:
Здесь человек беспокоится только о своих интересах. Он уверен, что конфликт можно решить, лишь победив оппонента и выиграв спор. Ему могут принадлежать такие утверждения: «Я настойчиво добиваюсь своего», «Я стремлюсь достичь своего». Именно они и встречаются в методике «тест Томаса». Типы поведения в конфликте все отличаются между собой, но именно соперничество выделяется особой напористостью и эгоизмом. Уладить конфликт при помощи такой модели поведения допустимо начальнику, когда требуется «жесткая рука руководителя». В семейных отношениях такой тип будет приносить боль и разочарование оппоненту.",4
23,"3","Приспособление:
Это означает, что человек в принципе избегает конфликтов. Ему легче уступить оппоненту, чем спорить с ним и доказывать что-то. Как правило, у таких людей занижена самооценка и они не считают, что их интересы могут быть важны. Кроме того, хорошие взаимоотношения с оппонентом для них важнее, нежели решение спора. Проиграть спор – это не решение проблемы, а только откладывание ее.",4
24,"4","Избегание:
Человек всячески избегает споров и конфликтов, не уступая при этом оппоненту. Примером может послужить ситуация, когда, не получив то, что индивидуум желает, он уходит и при этом обижается. На самом деле это способ избежать конфликта и обратить на себя внимание.",4
25,"5","Компромисс:
Человек готов пойти на уступки, но при этом получив что-либо взамен. Многие считают, что это наилучший способ решения конфликтных ситуаций, однако это не совсем так. В результате такой модели поведения главный вопрос остается не решенным. Кроме того, оба участника спора являются зависимыми друг от друга, каждый задает себе вопрос: «Как мне угодить оппоненту, чтобы получить желаемое?» В результате хитростью человек добивается поставленной цели, однако вряд ли такая модель решает конфликт полностью. Очень часто данный тип поведения применяют по отношению к детям. Однако когда ребенок понимает, что родитель также зависит от его мнения, он начинает требовать больше, еще больше спорить и в итоге получает все, что захочет.",4